CRN,Course,Title,Distribution,Time,Professor1,Professor2,Location,Day
10103,ECON 201 - 02,Intermediate Micro Analysis,SBA,09:50 am - 11:00 am,Casey Rothschild,,None,TWF
12763,ECON 201 - 03,Intermediate Micro Analysis,SBA,11:10 am - 12:20 pm,Casey Rothschild,,None,TWF
10046,ECON 202 - 01,Intermediate Macro Analysis,SBA,02:50 pm - 04:00 pm; 03:35 pm - 04:45 pm,Seth Neumuller,,None,MR; W
10111,ECON 202 - 02,Intermediate Macro Analysis,SBA,08:30 am - 09:40 am; 08:30 am - 09:40 am,Joseph Joyce,,None,TF; W2
11144,ECON 203 - 01,Econometrics,SBA,08:30 am - 09:40 am,Kyung-Hong Park,,None,MWR
11262,ECON 203 - 02,Econometrics,SBA,09:50 am - 11:00 am,Kyung-Hong Park,,None,MWR
12183,ECON 214 - 01,Trade Policy,SBA,11:10 am - 12:20 pm,None,,None,TF
13630,ECON 222 - 01,Games of Strategy,SBA,02:50 pm - 04:00 pm; 03:35 pm - 04:45 pm,Susan Skeath van Mulbregt,,None,MR; W
13993,ECON 232 - 01,Health Economics,SBA,01:30 pm - 02:40 pm,Courtney Coile,,None,MR
13994,ECON 302 - 01,Advanced Macroeconomics,SBA,09:50 am - 11:00 am,Seth Neumuller,,None,MR
13995,ECON 303 - 01,Advanced Econometrics,SBA,11:10 am - 12:20 pm; 11:10 am - 12:20 pm,Daniel Fetter,,None,MR; W1
13810,ECON 306 - 01,Hist Econ Organizations in US,"HS, SBA",01:30 pm - 04:00 pm,Eric Hilt,,None,T
14218,ECON 311 - 01,Economics of Immigration,SBA,01:30 pm - 02:40 pm,Kristin Butcher,,None,TF
13997,ECON 313 - 01,Sem: Internatl Macroeconomics,SBA,11:10 am - 12:20 pm; 11:10 am - 12:20 pm,Joseph Joyce,,None,TF; W2
13855,ECON 318 - 01,Econ Analysis Social Policy,SBA,09:50 am - 11:00 am,Phillip Levine,,None,MR
13576,ECON 320 - 01,Economic Development,SBA,01:30 pm - 02:40 pm; 02:15 pm - 03:25 pm,Gauri Shastry,,None,MR; W1
13998,ECON 324 - 01,Behavioral Economics,SBA,11:10 am - 12:20 pm,Olga Shurchkov,,None,MWR
11368,ECON 380 - 01,Economics Research Seminar,SBA,06:00 pm - 07:30 pm,Eric Hilt,,None,T
11794,EDUC 212 - 01,Sem: History American Educ,HS,01:30 pm - 04:00 pm,Barbara Beatty,,None,T
13662,EDUC 213 - 01,"Sem:Soc,Emo Lrng&Development",SBA,02:15 pm - 04:45 pm,Noah Rubin,,None,W
11397,EDUC 216 - 01,"Education,Society&SocialPolicy",SBA,09:50 am - 12:20 pm,Soo Hong,,None,R
10143,EDUC 300 - 01,Teaching &Curriculum Classroom,EC,02:50 pm - 04:30 pm; 01:30 pm - 04:00 pm,Kenneth Hawes,,None,M; R
11257,EDUC 304 - 01,Curric&Instr Element. Ed w/Lab,EC,01:30 pm - 02:40 pm; 04:10 pm - 06:40 pm,Noah Rubin,,None,T; R
11011,EDUC 310 - 01,Sem: Child Literacy & Reading,EC,09:50 am - 12:20 pm,Diane Tutin,,None,W
11344,EDUC 314 - 01,Learning&Teaching Mathematics,EC,02:50 pm - 04:30 pm; 03:55 pm - 06:25 pm,Jessica Polito,,None,M; W1
13339,EDUC 322 - 01,Sem: Digital Lrng & Teaching,EC,09:50 am - 12:20 pm,Robbin Chapman,,None,T
12155,EDUC 325 - 01,Sem: English as a 2nd Language,EC,09:50 am - 12:20 pm,Diane Tutin,,None,M
13999,EDUC 335 - 01,Sem: Urban Education,SBA,09:50 am - 12:20 pm,Soo Hong,,None,T
13159,ENG 113 - 01,Tpc:Writers Color Across Globe,LL,11:10 am - 12:20 pm,Yu Jin Ko,,None,MR
13160,ENG 115 - 01,Great Works of Poetry,LL,03:35 pm - 06:05 pm,Frank Bidart,,None,W
11999,ENG 120 - 01,Critical Interpretation,LL,11:10 am - 12:20 pm,Kathleen Brogan,,None,TF
12824,ENG 150 - 01,FYS: Creating Memory,LL,01:30 pm - 02:40 pm,Alison Hickey,,None,TF
14080,ENG 180 - 01,World Literature,LL,11:10 am - 12:20 pm,Marilyn Sides,,None,MR
10132,ENG 202 - 01,Poetry,LL,09:50 am - 12:20 pm,Daniel Chiasson,,None,W
